ID,Street Name,Street Qualifier,Begin Measure,End Measure,School,Speed Limit,Effective Days,Effective Time,Legislation Link,Location
235,Worthington Ave,A,1041.04393,1328.03385,Ecole Sofiya,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.099773399551 49.841560190768, -97.099600640344 49.841619642189, -97.09936620039 49.841700319082, -97.096250540556 49.84277242755)"
238,Lenore St,A,27.63193,317.62347,Laura Secord School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.172032389099 49.877519796264, -97.17189671894 49.879364927541, -97.171890075877 49.879455257765, -97.17188343279 49.879545587901, -97.17184085894 49.880124558937)"
257,Shamrock Dr,A,23.80604,324.97564,Shamrock School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.06386747426 49.84577710642, -97.063601917366 49.845777240831, -97.061074666556 49.845778489543, -97.060403042419 49.845778638869, -97.060275898867 49.84577926017, -97.060139498068 49.845779926552, -97.059887080097 49.845779963008, -97.05967952408 49.845779992573)"
264,Manitoba Ave,A,940.80625,1244.97767,William Whyte School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.142302413124 49.916605223406, -97.142676150434 49.9167252337, -97.142818503913 49.916770944167, -97.142961204416 49.916816765805, -97.145184274401 49.91753056847, -97.145326618247 49.91757607644, -97.14609548922 49.917822923819)"
269,Manila Rd,A,167.94233,478.49657,Arthur E. Wright School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.17593262182 49.956518938365, -97.17588528664 49.956749601835, -97.175811854467 49.956978207702, -97.17575140884 49.957122490953, -97.17565150596 49.957314633314, -97.175532924804 49.957502303659, -97.175396142129 49.957684747121, -97.175229985012 49.95789979467, -97.175053615648 49.958128056929, -97.174721862606 49.95855741464, -97.17459197524 49.958725589658, -97.174311209548 49.959088954147)"
275,Athlone Dr,A,257.75543,570.82119,Bruce Middle School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.273022826784 49.882224862196, -97.273003807289 49.882432123168, -97.272994890775 49.882529288314, -97.272958308013 49.882906749827, -97.272915527449 49.883380914404, -97.27288364387 49.883734293498, -97.272881865556 49.883745723291, -97.272878610587 49.883757016524, -97.272873901875 49.883768093692, -97.272867772571 49.883778876811, -97.272860265823 49.883789289965, -97.272851434481 49.883799259844, -97.272841340716 49.883808716261, -97.272830055589 49.88381759264, -97.272817658549 49.88382582649, -97.272804236872 49.883833359844, -97.272789885047 49.883840139667, -97.272774704115 49.883846118226, -97.272758800949 49.883851253432, -97.272742287512 49.883855509134, -97.272492129927 49.883912242944, -97.272232009697 49.883971235176, -97.271950209237 49.884035144125, -97.27166840646 49.884099052405, -97.271642578172 49.884104909746, -97.271361247758 49.884168709416, -97.271350720348 49.884170798423, -97.271339970265 49.884172343062, -97.271329064822 49.88417333366, -97.271318072302 49.884173764017, -97.271307061533 49.884173631436, -97.271061022228 49.884164367046, -97.271058267156 49.884164263297)"
13,De La Digue Ave,A,88.87602,194.86516,Ecole Noel-Ritchot,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.152807533339 49.766064064021, -97.151511790806 49.766515739878)"
130,Bedson St,A,366.54581,588.15362,Winnipeg Mennonite Elementary School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.308395710796 49.870889849247, -97.308383508058 49.871010287655, -97.308213742334 49.872685768752, -97.308194220873 49.872878424912)"
177,Polson Ave,A,257.66899,508.22645,Luxton School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.117955323056 49.923710702349, -97.118283179345 49.923815982983, -97.118906264411 49.924016063165, -97.11919134547 49.924107604497, -97.12039570178 49.924494779172, -97.121079590397 49.924714626388)"
21,Foster St,A,716.09701,838.71926,St. Gerard School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.092383329331 49.903278866973, -97.092329480962 49.903404430341, -97.092167717973 49.903781624277, -97.092156385559 49.903808048613, -97.092124195604 49.903881923909, -97.092016219174 49.904134367935, -97.091927625792 49.904341493147)"
